feature,importance_type,importance,signed_value
starter_minutes_roll_10,ridge_abs_scaled_coef,4.6526084135134225,4.6526084135134225
bench_minutes_roll_10,ridge_abs_scaled_coef,4.353913917758022,4.353913917758022
current_is_starter_roll_10,ridge_abs_scaled_coef,3.1120092830657504,3.1120092830657504
ext_fieldGoalsAttempted_roll_10,ridge_abs_scaled_coef,2.9965527796255973,2.9965527796255973
ext_fieldGoalsMade_roll_10,ridge_abs_scaled_coef,2.1005191561646055,2.1005191561646055
starter_minutes_share_roll_10,ridge_abs_scaled_coef,1.913970328627571,-1.913970328627571
ext_percentPoints3Point_roll_10,ridge_abs_scaled_coef,1.8991039872900866,1.8991039872900866
ext_percentPointsInPaint_roll_10,ridge_abs_scaled_coef,1.6030728900398477,1.6030728900398477
ext_reboundsDefensive_roll_10,ridge_abs_scaled_coef,1.5707550314210244,1.5707550314210244
profile_weight_lbs,ridge_abs_scaled_coef,1.3288139472806357,1.3288139472806357
numMinutes_roll_10,ridge_abs_scaled_coef,1.3031709830772797,-1.3031709830772797
ext_percentPointsFreeThrow_roll_10,ridge_abs_scaled_coef,1.2007711433983135,1.2007711433983135
ext_estimatedTurnoverPercentage_roll_10,ridge_abs_scaled_coef,1.1724090286595428,-1.1724090286595428
ext_teamTurnoverPercentage_roll_10,ridge_abs_scaled_coef,1.1033836925705667,1.1033836925705667
ext_freeThrowsMade_roll_10,ridge_abs_scaled_coef,0.9899518446127292,0.9899518446127292
ext_foulsAgainst_roll_10,ridge_abs_scaled_coef,0.9196769428483804,0.9196769428483804
team_score_roll_10,ridge_abs_scaled_coef,0.8973528780943106,-0.8973528780943106
team_estimatedDefensiveRating_roll_10,ridge_abs_scaled_coef,0.868381988601102,0.868381988601102
team_offensiveRating_roll_10,ridge_abs_scaled_coef,0.8666191546040664,0.8666191546040664
profile_bmi,ridge_abs_scaled_coef,0.81234352355358,-0.81234352355358
ext_percentTeamBlocks_roll_10,ridge_abs_scaled_coef,0.7826386917497246,0.7826386917497246
profile_years_since_draft,ridge_abs_scaled_coef,0.7460651843467723,-0.7460651843467723
ext_assistPercentage_roll_10,ridge_abs_scaled_coef,0.6976645521598399,0.6976645521598399
profile_height_inches,ridge_abs_scaled_coef,0.6772364077259476,-0.6772364077259476
ext_assistToTurnoverRatio_roll_10,ridge_abs_scaled_coef,0.6371203455931151,0.6371203455931151
team_fieldGoalsPercentage_roll_10,ridge_abs_scaled_coef,0.6135103592314309,-0.6135103592314309
ext_threePointersMade_roll_10,ridge_abs_scaled_coef,0.6104908082588295,-0.6104908082588295
team_defensiveRating_roll_10,ridge_abs_scaled_coef,0.5580954720655321,-0.5580954720655321
ext_percentFieldGoalAttempts3Point_roll_10,ridge_abs_scaled_coef,0.5511663888208098,-0.5511663888208098
ext_percentPoints2PointMidRange_roll_10,ridge_abs_scaled_coef,0.4918594910527145,0.4918594910527145
ext_doubleDouble_roll_10,ridge_abs_scaled_coef,0.48725149398008677,0.48725149398008677
ext_percentAssistedFieldGoalsMade_roll_10,ridge_abs_scaled_coef,0.48386201146050223,-0.48386201146050223
ext_percentTeamDefensiveRebounds_roll_10,ridge_abs_scaled_coef,0.47959354351776945,0.47959354351776945
days_since_last_game,ridge_abs_scaled_coef,0.4586818503437596,-0.4586818503437596
