component,explained_variance_ratio,cumulative_explained_variance_ratio,plan_reason
10,0.02645024871599823,0.6679441695299557,fixed grid
20,0.011487535572924448,0.8322079469857311,fixed grid
30,0.0052975400025926656,0.9079994369538436,fixed grid
41,0.0029302613199329065,0.9519369260011115,95% variance target
