primary_position,rows,mean,median,std,min,p25,p75,max
Center,25599,24.123325129887885,22.4,15.748395040320814,-3.0,11.9,34.3,105.3
Guard,51489,21.55832119481831,19.7,14.682152632147996,-3.3,9.9,31.200000000000003,96.1
Forward,52662,20.278625954198475,18.35,14.270319325805993,-4.8,9.1,29.0,105.2
