feature_set,model,config_name,segment,segment_value,rows,mae,rmse,mean_error,target_mean,prediction_mean
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_fewer_trees,starter_label,Bench,13932,6.929369198826685,8.721051313610769,-1.068172606052646,13.49198966408269,14.560162270135335
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_fewer_trees,starter_label,Starter,12230,8.76316395172621,11.19638614373125,1.3114581973639465,31.098413736713,29.78695553934906
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_more_regularized,starter_label,Bench,13932,6.9306782000299565,8.724529533156204,-1.0786403542667022,13.49198966408269,14.570630018349389
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_more_regularized,starter_label,Starter,12230,8.774378541154041,11.210770282449463,1.2955347200937055,31.098413736713,29.802879016619293
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,high_l2,starter_label,Bench,13932,6.9270097942579785,8.71618883269317,-1.0734820137035317,13.49198966408269,14.565471677786219
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,high_l2,starter_label,Starter,12230,8.754388185037824,11.183374799318035,1.3346629157543999,31.098413736713,29.763750820958602
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_leaf,starter_label,Bench,13932,6.9209296720456335,8.70801165066011,-1.0651812406162782,13.49198966408269,14.557170904698966
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_leaf,starter_label,Starter,12230,8.741634455208933,11.169423811006336,1.311897541911128,31.098413736713,29.786516194801873
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees,starter_label,Bench,13932,6.928762320477112,8.716497803100134,-1.0835491788981488,13.49198966408269,14.575538842980837
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees,starter_label,Starter,12230,8.765876345252806,11.195445573153442,1.3632852310243728,31.098413736713,29.735128505688632
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_high_leaf_min,starter_label,Bench,13932,6.931958036386569,8.713786921862127,-1.0787738635318047,13.49198966408269,14.570763527614492
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_high_leaf_min,starter_label,Starter,12230,8.75449032105022,11.182778490970078,1.3638776381747324,31.098413736713,29.73453609853827
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_more_l2,starter_label,Bench,13932,6.929806149402973,8.724803078227776,-1.07044856621964,13.49198966408269,14.562438230302329
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_more_l2,starter_label,Starter,12230,8.77634338452006,11.211782566287608,1.3496237582303063,31.098413736713,29.748789978482698
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,low_l2,starter_label,Bench,13932,6.928130899378291,8.713255094113817,-1.079045945319828,13.49198966408269,14.571035609402514
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,low_l2,starter_label,Starter,12230,8.754032458568757,11.178602721142484,1.3201000656401358,31.098413736713,29.778313671072866
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_l2,starter_label,Bench,13932,6.924908880171618,8.709721068214678,-1.065440615243569,13.49198966408269,14.557430279326256
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_l2,starter_label,Starter,12230,8.753486705163787,11.18159364587966,1.3483140133874731,31.098413736713,29.750099723325526
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_leaf,starter_label,Bench,13932,6.92859189457076,8.708859954279047,-1.0883103371821399,13.49198966408269,14.580300001264828
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_leaf,starter_label,Starter,12230,8.74614241935943,11.168304795385495,1.3474122364971148,31.098413736713,29.751001500215885
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_fast_regularized,starter_label,Bench,13932,6.927066135859342,8.719507855725627,-1.0643182517634573,13.49198966408269,14.556307915846144
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_fast_regularized,starter_label,Starter,12230,8.763285173187926,11.191076148842821,1.2949044430222705,31.098413736713,29.80350929369073
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_more_trees,starter_label,Bench,13932,6.918381651377331,8.70603003835182,-1.0755905663676026,13.49198966408269,14.567580230450291
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_more_trees,starter_label,Starter,12230,8.740051478109107,11.16767108000116,1.2881176773419547,31.098413736713,29.810296059371048
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_small_trees,starter_label,Bench,13932,6.930310004940664,8.716046250573607,-1.0747584018402112,13.49198966408269,14.566748065922901
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_small_trees,starter_label,Starter,12230,8.743610425071125,11.16565659545266,1.2782378465754998,31.098413736713,29.820175890137502
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_internal_early_stop_reference,starter_label,Bench,13932,6.921909091326157,8.70744044228415,-1.069452702870801,13.49198966408269,14.561442366953488
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_internal_early_stop_reference,starter_label,Starter,12230,8.743295038211283,11.17381832793,1.2894562482030163,31.098413736713,29.80895748850998
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,reference_current_hgb,starter_label,Bench,13932,6.925282885072935,8.71537544187092,-1.0697952494932685,13.49198966408269,14.561784913575954
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,reference_current_hgb,starter_label,Starter,12230,8.757449555485609,11.187530286825329,1.3168698557334773,31.098413736713,29.78154388097952
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees,starter_label,Bench,13932,6.921668232528218,8.708589198336984,-1.072202723027872,13.49198966408269,14.564192387110559
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees,starter_label,Starter,12230,8.751086207186152,11.177677709657603,1.3164336469406286,31.098413736713,29.78198008977237
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees_l2_03,starter_label,Bench,13932,6.927633259373467,8.710301116635144,-1.077213821393656,13.49198966408269,14.569203485476343
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees_l2_03,starter_label,Starter,12230,8.745845206830719,11.172805643732536,1.3426751156502315,31.098413736713,29.755738621062772
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_leaf,starter_label,Bench,13932,6.928564007673099,8.714061433160683,-1.08745630784731,13.49198966408269,14.579445971929998
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_leaf,starter_label,Starter,12230,8.757291622979647,11.185946172826378,1.3345942997775735,31.098413736713,29.763819436935428
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees,starter_label,Bench,13932,6.934778394132334,8.718228541560569,-1.0752492109896679,13.49198966408269,14.567238875072356
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees,starter_label,Starter,12230,8.750175165525665,11.174258590634151,1.3107967302887353,31.098413736713,29.78761700642427
