fold,feature_set,model,n_features,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,fit_predict_seconds,mae,rmse,r2,mean_error,median_absolute_error
1,pre_lineup_baseline,hist_gradient_boosting,4,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,0.291,7.7662174855414206,9.876939207628606,0.5628135905705063,-0.11633448529573061,6.510164779932417
3,pre_lineup_compact_40_plus_scoring,ridge,45,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,0.477,7.778216255488783,9.829062031989789,0.5843622047778707,-0.655694981594565,6.547392343709954
3,pre_lineup_compact_40,ridge,40,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,0.41,7.779641057958851,9.83124598581381,0.584177480214,-0.6551160042407941,6.555285796846007
2,pre_lineup_player_team_opp,hist_gradient_boosting,486,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,29.266,7.820165755102704,10.032304851673633,0.5415209862792341,0.2834367602882127,6.427515655826859
2,pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,45,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,1.973,7.8579845038697185,10.095330908131949,0.5357422760331008,0.38480997775350906,6.396405220376783
2,pre_lineup_compact_40,hist_gradient_boosting,40,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,1.996,7.861968930999848,10.110802027398478,0.534318233503128,0.40992088435530394,6.431010703175085
4,pre_lineup_baseline,ridge,4,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,0.044,7.866148216460363,10.09797798994213,0.5655815417179781,0.36281108983824684,6.41359980407498
3,pre_lineup_baseline,ridge,4,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,0.038,7.867880665828461,9.93966522417605,0.5749555056861877,-0.3891160010346521,6.6795712497161945
3,pre_lineup_baseline,hist_gradient_boosting,4,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,0.456,7.893575325178371,9.94274682066505,0.5746919115644529,-0.4330735095471717,6.728694966879871
2,pre_lineup_compact_40,ridge,40,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,0.32,7.896836201533598,10.107748120707516,0.5345995037491487,0.08223134089709293,6.573022687814088
2,pre_lineup_compact_40_plus_scoring,ridge,45,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,0.38,7.898837158624171,10.108720304706747,0.534509973090231,0.07294459660736097,6.563627415978072
2,pre_lineup_player_team_opp,ridge,486,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,13.105,7.904492459398088,10.188883719875104,0.5270979117149595,0.4881373394380408,6.488481616565938
3,pre_lineup_baseline,rolling_fp_10_baseline,4,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,0.001,7.905886993780884,10.085939320163966,0.5623533761624804,-0.27081226379440687,6.550000000000001
3,pre_lineup_compact_40,rolling_fp_10_baseline,40,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,0.0,7.905886993780884,10.085939320163966,0.5623533761624804,-0.27081226379440687,6.550000000000001
3,pre_lineup_compact_40_plus_scoring,rolling_fp_10_baseline,45,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,0.0,7.905886993780884,10.085939320163966,0.5623533761624804,-0.27081226379440687,6.550000000000001
