feature_set,model,config_name,n_features,train_rows,validation_rows,fit_predict_seconds,n_iter,mae,rmse,r2,mean_error,median_absolute_error,learning_rate,max_iter,max_leaf_nodes,l2_regularization,min_samples_leaf,early_stopping,fp_bucket_40-50_mae,fp_bucket_50+_mae,minutes_bucket_35+_mae,starter_label_Starter_mae,mae_delta_vs_reference,mae_delta_vs_best
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_more_trees,45,76937,26162,5.601,260,7.769961117050048,9.933004652325202,0.5562663010115096,0.029376631116071555,6.4139280306635,0.03,260,31,0.3,40,False,10.556068691368722,16.67932282229355,9.97751098991714,8.740051478109107,-0.01180821321618275,0.0
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_leaf,45,76937,26162,3.054,118,7.772058006962197,9.934850768529673,0.556101343855786,0.04603630813038411,6.421615975566109,0.05,180,31,0.1,80,auto,10.583511622953203,16.61186298207633,9.956610637305836,8.741634455208933,-0.00971132330403357,0.00209688991214918
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_internal_early_stop_reference,45,76937,26162,3.643,160,7.773355851145936,9.936893996592717,0.5559187383030462,0.033270960137867525,6.408385273970871,0.05,160,31,0.1,20,False,10.546512526382537,16.66094337148482,9.976497899555811,8.743295038211283,-0.008413479120294554,0.0033947340958881966
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees,45,76937,26162,5.06,234,7.776869739678533,9.939458837104434,0.5556894625140778,0.044417673146532305,6.427710447570859,0.03,260,31,0.1,20,auto,10.57554658694024,16.691754503120627,9.991100513864934,8.751086207186152,-0.004899590587697844,0.006908622628484906
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees_l2_03,45,76937,26162,4.746,207,7.7775962636316365,9.937696784471502,0.5558469819866556,0.054016271873171706,6.426832147158558,0.03,260,31,0.3,20,auto,10.589372968517026,16.733486711195038,9.989911244834342,8.745845206830719,-0.004173066634594491,0.007635146581588259
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_small_trees,45,76937,26162,4.939,300,7.777977008158903,9.936623051050582,0.5559429551655506,0.025201238788339426,6.4093626516415,0.03,300,15,0.3,40,False,10.55566050618889,16.63773769440104,9.974331786366315,8.743610425071125,-0.003792322107328161,0.00801589110885459
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_leaf,45,76937,26162,2.974,107,7.778245702313495,9.934658662168731,0.5561185106825406,0.05032153637864601,6.4303947943197155,0.05,180,31,0.1,40,auto,10.612278888715897,16.724873378458636,9.97829284294181,8.74614241935943,-0.0035236279527355308,0.00828458526344722
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_l2,45,76937,26162,3.214,132,7.779717640956506,9.942045642976643,0.5554581632676315,0.06292186117863287,6.421397314832966,0.05,180,31,0.3,20,auto,10.635849301159547,16.737120778332752,10.007266133533442,8.753486705163787,-0.002051689309724658,0.009756523906458092
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,high_l2,45,76937,26162,3.238,135,7.7812578532457275,9.945999848701122,0.555104481640796,0.05225808595515281,6.419115381290805,0.05,180,31,0.8,20,auto,10.600761192334755,16.746522970426614,10.007717501133836,8.754388185037824,-0.0005114770205034702,0.01129673619567928
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,low_l2,45,76937,26162,3.157,130,7.781688581088382,9.942122390250423,0.5554512999908051,0.042487412758314205,6.444701292720179,0.05,180,31,0.0,20,auto,10.57119881137638,16.731024943517877,9.993848550317255,8.754032458568757,-8.07491778491709e-05,0.01172746403833358
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,reference_current_hgb,45,76937,26162,3.578,159,7.781769330266231,9.947804761804573,0.5549429954908913,0.0459036357954364,6.415698066076466,0.05,160,31,0.1,20,auto,10.5734167747049,16.713693174834027,10.008259559866486,8.757449555485609,0.0,0.01180821321618275
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees_more_trees,45,76937,26162,4.172,255,7.783106867080222,9.942045123913962,0.5554582096856585,0.033162493695992216,6.4396672261654135,0.03,300,15,0.1,20,auto,10.567492404173594,16.63677839262488,9.966418773977917,8.745301091442741,0.0013375368139909583,0.013145750030173708
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees,45,76937,26162,3.038,172,7.783425382670688,9.942161316439657,0.5554478189190546,0.04016023254809192,6.42861676525822,0.05,180,15,0.1,20,auto,10.572086591585899,16.64563735710888,9.984176297338987,8.750175165525665,0.00165605240445732,0.01346426562064007
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_leaf,45,76937,26162,3.259,121,7.783442791221723,9.946358890927536,0.5550723603532359,0.04478430568576552,6.420051780470294,0.05,180,31,0.1,10,auto,10.567143177584741,16.740333419721246,10.003236438383343,8.757291622979647,0.0016734609554918123,0.013481674171674563
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_high_leaf_min,45,76937,26162,3.544,100,7.783940676912388,9.944565543005698,0.555232788532896,0.06309708921916797,6.401969264880995,0.05,180,63,0.3,40,auto,10.673828895242124,16.70470734740011,10.012363923578613,8.75449032105022,0.002171346646156813,0.013979559862339563
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_fast_regularized,45,76937,26162,2.774,120,7.785446948737891,9.9515969481571,0.5546036119124751,0.038552077616156345,6.412809793152563,0.08,120,31,0.5,40,False,10.600712656639212,16.75648418511991,10.015110947595032,8.763285173187926,0.00367761847166026,0.01548583168784301
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_fewer_trees,45,76937,26162,2.529,98,7.7866167268429365,9.95510866951823,0.554289213331076,0.044237940762770635,6.434076651718037,0.08,120,31,0.1,20,auto,10.567541515531783,16.736119304556944,10.01093815992016,8.76316395172621,0.0048473965767055205,0.01665560979288827
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees,45,76937,26162,3.516,103,7.787561514843245,9.952490106544724,0.5545236594438081,0.06027716592841029,6.413292986563453,0.05,160,63,0.1,20,auto,10.655707882557547,16.74822730215888,10.020428428403687,8.765876345252806,0.005792184577013693,0.017600397793196443
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_more_regularized,45,76937,26162,2.507,104,7.792556312251789,9.964294855241517,0.5534662647788944,0.03121979248919517,6.428697572364694,0.08,140,31,0.5,20,auto,10.575787123158175,16.787929169711273,10.03627087715323,8.774378541154041,0.010786981985558164,0.022595195201740914
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_more_l2,45,76937,26162,4.085,125,7.7930104298663165,9.964954816039972,0.553407112671513,0.06086725550740095,6.402467005136314,0.05,180,63,0.5,20,auto,10.650360548740151,16.774910150701068,10.029439022954488,8.77634338452006,0.011241099600085569,0.02304931281626832
