feature,importance_type,importance
ext_fieldGoalsMade_roll_10,random_forest_impurity,0.3054027692497272
ext_possessions_roll_10,random_forest_impurity,0.15816075366131946
numMinutes_roll_10,random_forest_impurity,0.07849642272918213
ext_fieldGoalsAttempted_roll_10,random_forest_impurity,0.04880605364601022
playerImpactEstimate_roll_10,random_forest_impurity,0.02484078228097776
ext_opponentPointsInPaint_roll_10,random_forest_impurity,0.0247239457596065
ext_foulsAgainst_roll_10,random_forest_impurity,0.015351291963357282
ext_reboundsDefensive_roll_10,random_forest_impurity,0.013483686089057312
ext_pointsInPaint_roll_10,random_forest_impurity,0.01238077342047786
ext_doubleDouble_roll_10,random_forest_impurity,0.012049961302881912
usagePercentage_roll_10,random_forest_impurity,0.009964045540708096
ext_assistPercentage_roll_10,random_forest_impurity,0.00693028637670111
ext_estimatedUsagePercentage_roll_10,random_forest_impurity,0.005099670209151778
ext_percentTeamDefensiveRebounds_roll_10,random_forest_impurity,0.004972644998335122
ext_percentTeamAssists_roll_10,random_forest_impurity,0.004899705797620445
ext_percentTeamTurnovers_roll_10,random_forest_impurity,0.004886403596743847
ext_assistToTurnoverRatio_roll_10,random_forest_impurity,0.004869630480255948
ext_percentTeamFoulsDrawn_roll_10,random_forest_impurity,0.0048578216142566525
ext_percentTeamBlocks_roll_10,random_forest_impurity,0.004737726044289203
ext_freeThrowsAttempted_roll_10,random_forest_impurity,0.004700815569208354
ext_assistRatio_roll_10,random_forest_impurity,0.003975244082091314
ext_percentTeamRebounds_roll_10,random_forest_impurity,0.003944933125704484
ext_percentTeamSteals_roll_10,random_forest_impurity,0.003943351410367501
player_age_years,random_forest_impurity,0.003915759904553512
ext_opponentPointsSecondChance_roll_10,random_forest_impurity,0.003883304666665628
ext_defensiveReboundPercentage_roll_10,random_forest_impurity,0.0035751187077342995
profile_draft_number,random_forest_impurity,0.003572825504949693
days_since_last_game,random_forest_impurity,0.0035413277583835035
ext_percentPointsOffTurnovers_roll_10,random_forest_impurity,0.0034528407795294393
ext_percentTeamFoulsPersonal_roll_10,random_forest_impurity,0.0033147869172923555
ext_percentTeamFieldGoalsMade_roll_10,random_forest_impurity,0.003231852120435391
ext_reboundPercentage_roll_10,random_forest_impurity,0.0031932444239805035
ext_opponentPointsFastBreak_roll_10,random_forest_impurity,0.003015446407720017
ext_percentTeamBlocksAgainst_roll_10,random_forest_impurity,0.002978325301874961
ext_percentPointsFastBreak_roll_10,random_forest_impurity,0.002915570991743885
ext_estimatedPace_roll_10,random_forest_impurity,0.0029140703898165336
ext_percentPointsFreeThrow_roll_10,random_forest_impurity,0.00289122177983243
ext_percentTeamFreeThrowsAttempted_roll_10,random_forest_impurity,0.0028782274484791645
ext_percentTeamOffensiveRebounds_roll_10,random_forest_impurity,0.002830386654711012
ext_opponentPointsOffTurnovers_roll_10,random_forest_impurity,0.0028175903882083275
profile_bmi,random_forest_impurity,0.002793983031644067
ext_percentTeamFieldGoalsAttempted_roll_10,random_forest_impurity,0.0027717895525054383
