feature,importance_type,importance,importance_std,validation_rows_sampled
ext_fieldGoalsMade_roll_10,hgb_permutation_validation_mae_increase,1.071790939816852,0.049314257656007505,5000
ext_possessions_roll_10,hgb_permutation_validation_mae_increase,0.4602215289543275,0.02414481621985432,5000
numMinutes_roll_10,hgb_permutation_validation_mae_increase,0.22085995422533541,0.006193547788539073,5000
ext_fieldGoalsAttempted_roll_10,hgb_permutation_validation_mae_increase,0.10631562194186106,0.013820124335877685,5000
ext_reboundsDefensive_roll_10,hgb_permutation_validation_mae_increase,0.10303726148134758,0.009453507322154922,5000
days_since_last_game,hgb_permutation_validation_mae_increase,0.08509919871917819,0.008783498516099737,5000
ext_doubleDouble_roll_10,hgb_permutation_validation_mae_increase,0.038262476980051474,0.0005821896207379876,5000
playerImpactEstimate_roll_10,hgb_permutation_validation_mae_increase,0.036423539359341284,0.0036274686380169583,5000
ext_assistPercentage_roll_10,hgb_permutation_validation_mae_increase,0.031612169237285194,0.00737638458565826,5000
ext_foulsAgainst_roll_10,hgb_permutation_validation_mae_increase,0.03115885832128651,0.0010544196385406607,5000
ext_percentTeamBlocks_roll_10,hgb_permutation_validation_mae_increase,0.029253226817199145,0.004358435975052303,5000
current_is_starter_roll_10,hgb_permutation_validation_mae_increase,0.029182970385959035,0.009105007946176845,5000
ext_pointsInPaint_roll_10,hgb_permutation_validation_mae_increase,0.020028885626285426,0.0022390379679232304,5000
ext_assistToTurnoverRatio_roll_10,hgb_permutation_validation_mae_increase,0.017925236354780754,0.000822641668042148,5000
profile_years_since_draft,hgb_permutation_validation_mae_increase,0.014935977542982629,0.000981681960107538,5000
profile_draft_number,hgb_permutation_validation_mae_increase,0.013169520723904427,0.005617395723430525,5000
ext_freeThrowsAttempted_roll_10,hgb_permutation_validation_mae_increase,0.01186830429888571,0.004086089974399076,5000
opp_points_allowed_roll_10,hgb_permutation_validation_mae_increase,0.009393952955753626,0.006257583013845661,5000
ext_percentTeamAssists_roll_10,hgb_permutation_validation_mae_increase,0.009291426386142257,0.0031219382801170874,5000
team_estimatedDefensiveRating_roll_10,hgb_permutation_validation_mae_increase,0.009093430861382737,0.0018889513534955371,5000
ext_opponentPointsInPaint_roll_10,hgb_permutation_validation_mae_increase,0.008540139944544833,0.0015574325287278394,5000
profile_height_inches,hgb_permutation_validation_mae_increase,0.007374854597098708,0.0006357193542401397,5000
ext_percentTeamSteals_roll_10,hgb_permutation_validation_mae_increase,0.006728625770356563,0.0019755728384067044,5000
usagePercentage_roll_10,hgb_permutation_validation_mae_increase,0.006604986082387576,0.0023337200707906508,5000
ext_estimatedUsagePercentage_roll_10,hgb_permutation_validation_mae_increase,0.006259571119096326,0.0017340704093219423,5000
ext_percentUnassisted2PointMade_roll_10,hgb_permutation_validation_mae_increase,0.006203752919062093,0.0011966992956979007,5000
profile_draft_year,hgb_permutation_validation_mae_increase,0.005957928850501541,0.002252116109038366,5000
opp_pace_roll_10,hgb_permutation_validation_mae_increase,0.005829804282133644,0.0008599578347346756,5000
team_score_roll_10,hgb_permutation_validation_mae_increase,0.0057553255119173015,0.0010045009513975026,5000
home,hgb_permutation_validation_mae_increase,0.005638580184832283,0.002275207527778303,5000
ext_percentTeamFoulsDrawn_roll_10,hgb_permutation_validation_mae_increase,0.005607668628744437,0.00039467676989902496,5000
team_offensiveRating_roll_10,hgb_permutation_validation_mae_increase,0.005446743449161555,0.0032890371403646885,5000
ext_opponentPointsSecondChance_roll_10,hgb_permutation_validation_mae_increase,0.004825810778912458,0.0008562760130634276,5000
ext_percentUnassisted3PointMade_roll_10,hgb_permutation_validation_mae_increase,0.0044731644407341635,0.0023069980518879278,5000
team_reboundsTotal_roll_10,hgb_permutation_validation_mae_increase,0.004036578139524257,0.001381977961430395,5000
offensiveRating_roll_10,hgb_permutation_validation_mae_increase,0.003686388546725835,0.001408755828915625,5000
team_assists_roll_10,hgb_permutation_validation_mae_increase,0.003445814972023046,0.0019501861947730202,5000
profile_draft_round,hgb_permutation_validation_mae_increase,0.0032871473450724054,0.0008017116151936724,5000
ext_foulsPersonal_roll_10,hgb_permutation_validation_mae_increase,0.003255896004452493,0.00054984741453942,5000
ext_reboundsOffensive_roll_10,hgb_permutation_validation_mae_increase,0.0024304493574825634,0.0009179998071884759,5000
starter_minutes_roll_10,hgb_permutation_validation_mae_increase,0.0024248453950823645,0.0008684573951189456,5000
team_pointsFromTurnovers_roll_10,hgb_permutation_validation_mae_increase,0.00233779252679156,0.0011026896815483742,5000
opp_pointsInThePaint_allowed_roll_10,hgb_permutation_validation_mae_increase,0.0023312095857797033,0.0012516562276234503,5000
defensiveRating_roll_10,hgb_permutation_validation_mae_increase,0.0022887157116961987,0.00041660929430353436,5000
opp_pos_minutes_allowed_roll_10,hgb_permutation_validation_mae_increase,0.0022215918159803985,0.0009737860236543593,5000
team_fieldGoalsPercentage_roll_10,hgb_permutation_validation_mae_increase,0.0021944657598647055,0.0013611371941807655,5000
ext_defensiveReboundPercentage_roll_10,hgb_permutation_validation_mae_increase,0.0021757185370286556,0.0009430283266601987,5000
ext_percentUnassistedFieldGoalsMade_roll_10,hgb_permutation_validation_mae_increase,0.0020910699808380784,0.0019911475351575628,5000
starter_minutes_share_roll_10,hgb_permutation_validation_mae_increase,0.0020556467156917315,0.0005506802263384308,5000
ext_percentTeamTurnovers_roll_10,hgb_permutation_validation_mae_increase,0.001772511411640328,0.0002467201417699028,5000
ext_percentTeamThreePointersMade_roll_10,hgb_permutation_validation_mae_increase,0.0017310107004024171,0.00020160407140970525,5000
ext_win_roll_10,hgb_permutation_validation_mae_increase,0.0015333288412229251,0.0011055424573978333,5000
ext_netRating_roll_10,hgb_permutation_validation_mae_increase,0.001474939004401025,0.00025219708972105314,5000
ext_assistRatio_roll_10,hgb_permutation_validation_mae_increase,0.0014486631330659823,0.001764170498562679,5000
ext_freeThrowsMade_roll_10,hgb_permutation_validation_mae_increase,0.0013644270671324676,0.00046033245695244657,5000
profile_weight_lbs,hgb_permutation_validation_mae_increase,0.0013314755194186272,0.0014089466652298353,5000
ext_pointsFastBreak_roll_10,hgb_permutation_validation_mae_increase,0.0012775575096905338,0.0005984889723493812,5000
trueShootingPercentage_roll_10,hgb_permutation_validation_mae_increase,0.0012746584261161449,0.0007721146552329808,5000
ext_estimatedOffensiveRating_roll_10,hgb_permutation_validation_mae_increase,0.0012728577511265844,0.0010678078092619197,5000
team_pointsFastBreak_roll_10,hgb_permutation_validation_mae_increase,0.0012484475721485921,0.0015241836299262673,5000
team_threePointersPercentage_roll_10,hgb_permutation_validation_mae_increase,0.0011658722186987565,0.00023023372214024752,5000
ext_percentAssisted2PointMade_roll_10,hgb_permutation_validation_mae_increase,0.0011637371186073626,0.0005392030788926543,5000
opp_estimatedDefensiveRating_roll_10,hgb_permutation_validation_mae_increase,0.0011352021174030706,0.0010397500659915118,5000
ext_threePointersMade_roll_10,hgb_permutation_validation_mae_increase,0.001126614733816922,0.00042058616380710896,5000
team_win_roll_10,hgb_permutation_validation_mae_increase,0.0011254189741759883,0.000632152673149864,5000
opp_defensiveRating_roll_10,hgb_permutation_validation_mae_increase,0.0011225599816215848,0.0012156781681641345,5000
ext_percentPoints2PointMidRange_roll_10,hgb_permutation_validation_mae_increase,0.0011170823671819245,0.0001849084469953763,5000
team_defensiveRating_roll_10,hgb_permutation_validation_mae_increase,0.0010322056005881801,0.0001847220711534744,5000
opp_trueShootingPercentage_allowed_roll_10,hgb_permutation_validation_mae_increase,0.0009953551864748296,0.002399018455974292,5000
team_trueShootingPercentage_roll_10,hgb_permutation_validation_mae_increase,0.0009820058751020728,0.0003962745716105966,5000
ext_percentPoints2Point_roll_10,hgb_permutation_validation_mae_increase,0.0009651854963781403,0.0004111658651603918,5000
threePointersPercentage_roll_10,hgb_permutation_validation_mae_increase,0.0009624289524738927,0.0008431539881622502,5000
opp_pointsSecondChance_allowed_roll_10,hgb_permutation_validation_mae_increase,0.0009530757660032307,0.0006286612152299923,5000
ext_threePointersAttempted_roll_10,hgb_permutation_validation_mae_increase,0.0009435735207266779,0.0010181166537834997,5000
profile_bmi,hgb_permutation_validation_mae_increase,0.0009398535181709041,0.0014326347641982796,5000
ext_percentTeamRebounds_roll_10,hgb_permutation_validation_mae_increase,0.0008443980381231952,0.0007978256296266565,5000
opp_effectiveFieldGoalPercentage_allowed_roll_10,hgb_permutation_validation_mae_increase,0.0007382586776231529,0.0012762097540200885,5000
opp_pos_player_count_roll_10,hgb_permutation_validation_mae_increase,0.0007145151553515916,0.0019268070322582174,5000
opp_pointsFastBreak_allowed_roll_10,hgb_permutation_validation_mae_increase,0.0006353558568704306,0.0004917872678898734,5000
ext_percentFieldGoalAttempts3Point_roll_10,hgb_permutation_validation_mae_increase,0.0006297026872612577,0.0005086617926165165,5000
bench_minutes_roll_10,hgb_permutation_validation_mae_increase,0.0006249326652471391,0.001141258403295657,5000
team_pointsSecondChance_roll_10,hgb_permutation_validation_mae_increase,0.0005238189801035631,0.0014661246430542954,5000
opp_fieldGoalsPercentage_allowed_roll_10,hgb_permutation_validation_mae_increase,0.0004731153453979194,0.00042050062073391027,5000
opp_win_roll_10,hgb_permutation_validation_mae_increase,0.0004112306415331446,0.00047602749736716223,5000
opp_blocks_roll_10,hgb_permutation_validation_mae_increase,0.0003746348994049242,0.00036928134039869063,5000
ext_percentTeamDefensiveRebounds_roll_10,hgb_permutation_validation_mae_increase,0.0003669861096472123,0.0006665220488249709,5000
ext_percentPointsFreeThrow_roll_10,hgb_permutation_validation_mae_increase,0.00029696068272529647,0.0010522571812181085,5000
profile_draft_number_missing,hgb_permutation_validation_mae_increase,0.00026672335426939736,8.590699036185038e-05,5000
ext_percentTeamOffensiveRebounds_roll_10,hgb_permutation_validation_mae_increase,0.00026178157128035434,0.000240892366955358,5000
pace_roll_10,hgb_permutation_validation_mae_increase,0.00020342212161080417,0.0014400447245207276,5000
ext_estimatedPace_roll_10,hgb_permutation_validation_mae_increase,0.00019787064868263352,0.0005389446571575475,5000
ext_percentTeamThreePointersAttempted_roll_10,hgb_permutation_validation_mae_increase,0.00019219255568891924,0.0008592386466318863,5000
opp_turnovers_forced_roll_10,hgb_permutation_validation_mae_increase,0.0001809564487409432,0.0008263056262273489,5000
ext_spWorkDefensiveRating_roll_10,hgb_permutation_validation_mae_increase,0.00016962072258378905,0.00019844460185640048,5000
ext_percentPoints3Point_roll_10,hgb_permutation_validation_mae_increase,0.0001554893391508827,0.00048594313075609906,5000
profile_draft_round_missing,hgb_permutation_validation_mae_increase,5.39673606277565e-05,3.932294218567188e-05,5000
ext_estimatedNetRating_roll_10,hgb_permutation_validation_mae_increase,3.92653376515284e-05,0.0013806593832122107,5000
ext_percentTeamFoulsPersonal_roll_10,hgb_permutation_validation_mae_increase,3.902722976671195e-05,0.000843374458945114,5000
is_back_to_back,hgb_permutation_validation_mae_increase,1.9144912374831808e-05,0.00019754763621812428,5000
ext_spWorkOffensiveRating_roll_10,hgb_permutation_validation_mae_increase,0.0,0.0,5000
profile_birthdate_missing,hgb_permutation_validation_mae_increase,0.0,0.0,5000
opp_pos_starter_count_roll_10,hgb_permutation_validation_mae_increase,0.0,0.0,5000
ext_spWorkPace_roll_10,hgb_permutation_validation_mae_increase,0.0,0.0,5000
ext_pacePer40_roll_10,hgb_permutation_validation_mae_increase,-2.9707022044078712e-05,0.0001335234618862855,5000
ext_estimatedTurnoverPercentage_roll_10,hgb_permutation_validation_mae_increase,-3.2082707530634025e-05,0.00018555859770570977,5000
ext_percentTeamPoints_roll_10,hgb_permutation_validation_mae_increase,-9.837784691324458e-05,0.0002639656345038861,5000
fieldGoalsPercentage_roll_10,hgb_permutation_validation_mae_increase,-0.00013859603629976883,0.0009213180683798131,5000
ext_plusMinusPoints_roll_10,hgb_permutation_validation_mae_increase,-0.00014327723658199196,0.0007982501601847217,5000
team_steals_roll_10,hgb_permutation_validation_mae_increase,-0.0001585965994689668,0.0012821457486237036,5000
ext_percentTeamBlocksAgainst_roll_10,hgb_permutation_validation_mae_increase,-0.00019799360880856653,0.0004412067582380497,5000
ext_percentAssistedFieldGoalsMade_roll_10,hgb_permutation_validation_mae_increase,-0.00026445592203483415,0.0014263841635012572,5000
ext_percentTeamFreeThrowsMade_roll_10,hgb_permutation_validation_mae_increase,-0.0002935537163380649,0.0015960823879009969,5000
ext_percentAssisted3PointMade_roll_10,hgb_permutation_validation_mae_increase,-0.0003125997734182799,0.0002739627467102758,5000
ext_opponentPointsFastBreak_roll_10,hgb_permutation_validation_mae_increase,-0.00034542385048919044,0.002419939969595898,5000
ext_teamTurnoverPercentage_roll_10,hgb_permutation_validation_mae_increase,-0.0003494133366605349,0.0009276295363093498,5000
ext_offensiveReboundPercentage_roll_10,hgb_permutation_validation_mae_increase,-0.00039065318445411873,0.0005963052496480582,5000
ext_percentTeamFieldGoalsMade_roll_10,hgb_permutation_validation_mae_increase,-0.0004482423842375738,0.0009105787577767504,5000
freeThrowsPercentage_roll_10,hgb_permutation_validation_mae_increase,-0.0005992206789023532,0.0008230990174793906,5000
opp_pointsFromTurnovers_allowed_roll_10,hgb_permutation_validation_mae_increase,-0.0006212625404090252,0.0005017576289972962,5000
estimatedDefensiveRating_roll_10,hgb_permutation_validation_mae_increase,-0.0006844231566685011,0.0006285028011326772,5000
team_points_allowed_roll_10,hgb_permutation_validation_mae_increase,-0.0007207980276913162,0.0016755620035948356,5000
ext_percentPointsOffTurnovers_roll_10,hgb_permutation_validation_mae_increase,-0.0007604365567012531,0.0003509777842267129,5000
ext_pointsOffTurnovers_roll_10,hgb_permutation_validation_mae_increase,-0.0007721207381890712,0.0005401789000520242,5000
ext_percentTeamFieldGoalsAttempted_roll_10,hgb_permutation_validation_mae_increase,-0.0007833212468053574,0.0012936964694023364,5000
opp_assists_allowed_roll_10,hgb_permutation_validation_mae_increase,-0.0008199823543269721,0.0014991301380620427,5000
team_effectiveFieldGoalPercentage_roll_10,hgb_permutation_validation_mae_increase,-0.0008872577363009763,0.0006108150928203214,5000
ext_pointsSecondChance_roll_10,hgb_permutation_validation_mae_increase,-0.001008374415966647,0.0002977800158461125,5000
ext_percentFieldGoalAttempts2Point_roll_10,hgb_permutation_validation_mae_increase,-0.001012451250417416,0.001235927789594775,5000
ext_home_roll_10,hgb_permutation_validation_mae_increase,-0.0011162428596769303,0.000378167481192604,5000
ext_percentPointsFastBreak_roll_10,hgb_permutation_validation_mae_increase,-0.001257749789521867,0.0007024847098076515,5000
ext_percentTeamFreeThrowsAttempted_roll_10,hgb_permutation_validation_mae_increase,-0.0013301183131607293,0.0011712328171871753,5000
team_pace_roll_10,hgb_permutation_validation_mae_increase,-0.0013401196127933446,0.0005232840991493512,5000
ext_tripleDouble_roll_10,hgb_permutation_validation_mae_increase,-0.0013619094433240757,0.0006491258887630242,5000
player_age_years,hgb_permutation_validation_mae_increase,-0.0013790631999099172,0.001415932716791242,5000
effectiveFieldGoalPercentage_roll_10,hgb_permutation_validation_mae_increase,-0.0014178084795289554,0.0009694757844284111,5000
ext_reboundPercentage_roll_10,hgb_permutation_validation_mae_increase,-0.0014352641114105207,0.00022679089501801745,5000
opp_steals_roll_10,hgb_permutation_validation_mae_increase,-0.0015335951377766222,0.00041697630286724707,5000
ext_opponentPointsOffTurnovers_roll_10,hgb_permutation_validation_mae_increase,-0.001534814838720422,0.0013697172609019178,5000
ext_percentPointsInPaint_roll_10,hgb_permutation_validation_mae_increase,-0.0015419842170774818,0.0004172950110319059,5000
ext_blocksAgainst_roll_10,hgb_permutation_validation_mae_increase,-0.001686160116002829,0.000530498000889565,5000
team_blocks_roll_10,hgb_permutation_validation_mae_increase,-0.0021081761128935264,0.0009615420177116545,5000
team_pointsInThePaint_roll_10,hgb_permutation_validation_mae_increase,-0.002211648564872881,0.0008083304579976243,5000
opp_rebounds_allowed_roll_10,hgb_permutation_validation_mae_increase,-0.0024390837289258727,0.0008377617627493706,5000
team_turnovers_roll_10,hgb_permutation_validation_mae_increase,-0.003819837919741905,0.0007657813308246356,5000
