experiment,model,anomaly_variant,group,group_value,rows,mae,rmse,mean_error,target_mean,prediction_mean
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_is_outlier,0.0,24301,7.545496367669286,9.644414281918529,0.06946863169695502,21.52271511460434,21.45324648290738
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_is_outlier,1.0,1861,8.025945382645693,10.329027528415274,0.11212901109436252,24.3312735088662,24.21914449777184
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_is_outlier,0.0,24301,7.554846484345116,9.667016368845683,0.034003109576547834,21.52271511460434,21.48871200502779
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_is_outlier,1.0,1861,8.050094000555898,10.372331380686854,0.6521970277072995,24.3312735088662,23.679076481158905
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_is_outlier,0.0,24301,7.631014205243949,9.734473214071215,0.11926105550851727,21.52271511460434,21.403454059095818
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_is_outlier,1.0,1861,8.069009494966043,10.374384584546586,0.28009407776839074,24.3312735088662,24.05117943109781
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_is_outlier,0.0,24301,7.688483824216308,9.816526492550853,-0.13991209226732568,21.52271511460434,21.662627206871658
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_is_outlier,1.0,1861,8.175755663117714,10.521547318576514,0.7339143144893597,24.3312735088662,23.597359194376843
pre_lineup_compact_40_plus_scoring_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_is_outlier,0.0,23143,7.695539576617905,9.799680714037844,-0.016095030342756538,21.011886963660718,21.027981994003476
pre_lineup_compact_40_plus_scoring_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_is_outlier,1.0,3019,8.42867906172186,10.961495050510148,0.5644905181456397,27.16989069228221,26.605400174136573
