starter_label,rows,mean,median,std,min,p25,p75,max
Starter,48480,30.97318688118812,29.8,13.824291684081748,-3.5,21.0,39.8,105.3
Bench,81270,15.92078626799557,13.9,12.293039180246044,-4.8,6.2,23.1,92.9
