feature_set,model,n_features,train_rows,validation_rows,fit_predict_seconds,mae,rmse,r2,mean_error,median_absolute_error,validity
lineup_aware_starter_flag_roll10,hist_gradient_boosting,11,76937,26162,1.252,7.655891244591493,9.78251609850373,0.5696098961274687,0.14553330634638179,6.297060858119103,lineup-aware
lineup_aware_starter_flag_roll10,ridge,11,76937,26162,0.122,7.721617482900054,9.865872158289582,0.562244005886912,-0.08559834754068661,6.378065935346564,lineup-aware
pre_lineup_starter_history_roll10,hist_gradient_boosting,10,76937,26162,1.035,7.909683099771941,10.08782620329792,0.542325919972285,0.10157575682773268,6.558809891794746,pre-lineup
pre_lineup_starter_history_roll10,ridge,10,76937,26162,0.136,7.952467684422498,10.150775276804861,0.5365962319497654,-0.07954774282324902,6.600303136221067,pre-lineup
