feature_set,model,uses_time_decay,validity,n_features,train_rows,validation_rows,fit_predict_seconds,train_mae,validation_mae,mae_gap,train_rmse,validation_rmse,rmse_gap,train_r2,validation_r2,r2_gap,valid_for_final_ranking
lineup_aware_starter_flag_roll10,catboost,True,lineup-aware,11,76937,26162,2.988,7.621384016832603,7.660686864398198,0.03930284756559477,9.767212101092973,9.794361695274826,0.027149594181853587,0.5683757744319144,0.5685669508807141,-0.0001911764487996237,True
lineup_aware_starter_flag_roll10,hist_gradient_boosting,True,lineup-aware,11,76937,26162,1.722,7.663639556216324,7.661765429026911,-0.0018741271894135991,9.82542136870593,9.785612715766693,-0.03980865293923763,0.5632157765476695,0.5693373763889917,-0.006121599841322212,True
lineup_aware_starter_flag_roll10,extra_trees,True,lineup-aware,11,76937,26162,8.734,7.432498058840942,7.6721091585127335,0.23961109967179173,9.538866473722917,9.800190389167527,0.26132391544460987,0.5883215690869706,0.5680533003719784,0.02026826871499221,True
lineup_aware_starter_flag_roll10,random_forest,True,lineup-aware,11,76937,26162,9.701,7.332834154547445,7.679749961302088,0.34691580675464273,9.423464459568839,9.80896744779622,0.3855029882273815,0.5982223553474892,0.5672792502633479,0.03094310508414133,True
lineup_aware_starter_flag_roll10,lightgbm,True,lineup-aware,11,76937,26162,2.442,7.479082619674978,7.703347755597293,0.22426513592231512,9.598127205594835,9.864382680431094,0.26625547483625844,0.583190530287278,0.5623761743624349,0.020814355924843042,True
lineup_aware_starter_flag_roll10,lasso,True,lineup-aware,11,76937,26162,0.206,7.80740722812621,7.703949308896632,-0.10345791922957748,10.003008479337147,9.848096545362733,-0.1549119339744145,0.5472839950703023,0.5638200188372045,-0.016536023766902108,True
lineup_aware_starter_flag_roll10,ridge,True,lineup-aware,11,76937,26162,0.125,7.809059537218956,7.704210804571158,-0.10484873264779804,10.00472292116591,9.847907492823701,-0.15681542834220963,0.5471287974073897,0.5638367652492727,-0.016707967841882998,True
lineup_aware_starter_flag_roll10,xgboost,True,lineup-aware,11,76937,26162,3.265,7.396361688083851,7.729024704732386,0.33266301664853515,9.488690001691253,9.88471494941902,0.3960249477277671,0.5926412107018955,0.5605702721181876,0.03207093858370791,True
