game_date,season_start,gameId,personId,player_name,playerteamName,opponentteamName,starter_label,primary_position,actual_numMinutes,fantasy_points,fantasy_points_roll_10,fantasy_points_z_5_vs_30
2026-04-08 22:00:00,2025,22501164,1630224,Jalen Green,Suns,Mavericks,Starter,Guard,3.5,1.2,33.13,0.2433443723591325
2025-03-21 20:30:00,2024,22401019,203501,Tim Hardaway Jr.,Pistons,Mavericks,Starter,Forward,7.52,1.2,18.43,-0.263787898706996
2024-12-23 19:00:00,2024,22400394,203084,Harrison Barnes,Spurs,76ers,Starter,Forward,20.18,1.2,15.57,-0.2264824846520141
2026-01-01 22:00:00,2025,22500474,1641775,Jordan Walsh,Celtics,Kings,Starter,Guard,5.06,1.2,21.26,-0.528492504572593
2024-02-10 15:30:00,2023,22300749,203488,Mike Muscala,Pistons,Clippers,Starter,Center,9.0,1.2,10.0,-0.3184663069919205
2026-01-23 19:30:00,2025,22500638,1642875,Maxime Raynaud,Kings,Cavaliers,Starter,Center,9.11,1.2,20.66,-0.4153234538183372
2023-03-07 19:30:00,2022,22200980,200782,P.J. Tucker,76ers,Timberwolves,Starter,Forward,21.0,1.2,11.81,0.555455876529212
2024-01-13 21:30:00,2023,22300549,1629629,Cam Reddish,Lakers,Jazz,Starter,Forward,11.0,1.2,12.23,-0.5995255901093791
2025-12-01 22:00:00,2025,22500317,1629060,Rui Hachimura,Lakers,Suns,Starter,Forward,22.59,1.2,19.4,-0.5682938729963989
2022-10-23 20:30:00,2022,22200042,1629644,KZ Okpala,Kings,Warriors,Starter,Forward,3.0,1.2,11.08,0.2442275187944381
2023-12-16 20:00:00,2023,22300338,1627741,Buddy Hield,Pacers,Timberwolves,Starter,Guard,18.0,1.2000000000000002,24.25,-0.2497730633051574
2022-11-04 19:00:00,2022,22200121,1630188,Jalen Smith,Pacers,Heat,Starter,Center,11.0,1.2000000000000002,26.91,-0.1464362853453192
2024-03-24 18:00:00,2023,22301029,1630171,Isaac Okoro,Cavaliers,Heat,Starter,Forward,19.0,1.2000000000000002,22.13,-0.6937315200957916
2024-04-04 19:30:00,2023,22301112,203084,Harrison Barnes,Kings,Knicks,Starter,Forward,14.0,1.2000000000000002,19.74,0.0898679340528299
