feature_set,model,segment,segment_value,rows,mae,rmse,mean_error,target_mean,prediction_mean
pre_lineup_baseline,hist_gradient_boosting,starter_label,Bench,13932,7.138388066936387,8.91742083510313,-1.4434012707798838,13.49198966408269,14.935390934862571
pre_lineup_baseline,hist_gradient_boosting,starter_label,Starter,12230,8.831997228349001,11.280468179755477,1.6378583453489224,31.098413736713,29.46055539136408
pre_lineup_baseline,mean_baseline,starter_label,Bench,13932,11.117410471501096,12.97117510843434,-7.966619327689799,13.49198966408269,21.458608991772486
pre_lineup_baseline,mean_baseline,starter_label,Starter,12230,13.161987756046083,16.85610176198025,9.639804744940514,31.098413736713,21.458608991772493
pre_lineup_baseline,ridge,starter_label,Bench,13932,7.130649732667695,8.976652416025813,-1.4136722765480292,13.49198966408269,14.905661940630717
pre_lineup_baseline,ridge,starter_label,Starter,12230,8.79526125206737,11.231233241672449,1.7034533945108152,31.098413736713,29.394960342202182
pre_lineup_baseline,rolling_fp_10_baseline,starter_label,Bench,13932,7.1313666869276044,9.139915786462911,-0.838138767111564,13.49198966408269,14.330128431194252
pre_lineup_baseline,rolling_fp_10_baseline,starter_label,Starter,12230,8.95933866059189,11.420302406488089,1.1328331910869118,31.098413736713,29.96558054562609
pre_lineup_baseline,rolling_fp_30_baseline,starter_label,Bench,13932,7.248004139472278,9.210540125292166,-1.0885814756164542,13.49198966408269,14.580571139699142
pre_lineup_baseline,rolling_fp_30_baseline,starter_label,Starter,12230,9.007109614959386,11.481322983815463,1.694177720062662,31.098413736713,29.404236016650337
pre_lineup_compact_40,hist_gradient_boosting,starter_label,Bench,13932,6.925161374287901,8.714157562823518,-1.0769487196358358,13.49198966408269,14.568938383718523
pre_lineup_compact_40,hist_gradient_boosting,starter_label,Starter,12230,8.760730374990192,11.190093622286911,1.3044390761312143,31.098413736713,29.793974660581785
pre_lineup_compact_40,mean_baseline,starter_label,Bench,13932,11.117410471501096,12.97117510843434,-7.966619327689799,13.49198966408269,21.458608991772486
pre_lineup_compact_40,mean_baseline,starter_label,Starter,12230,13.161987756046083,16.85610176198025,9.639804744940514,31.098413736713,21.458608991772493
pre_lineup_compact_40,ridge,starter_label,Bench,13932,7.008915067449187,8.82071249521874,-1.285744757465873,13.49198966408269,14.777734421548562
pre_lineup_compact_40,ridge,starter_label,Starter,12230,8.70497106183143,11.107418754136718,1.1441802662250435,31.098413736713,29.954233470487956
pre_lineup_compact_40,rolling_fp_10_baseline,starter_label,Bench,13932,7.1313666869276044,9.139915786462911,-0.838138767111564,13.49198966408269,14.330128431194252
pre_lineup_compact_40,rolling_fp_10_baseline,starter_label,Starter,12230,8.95933866059189,11.420302406488089,1.1328331910869118,31.098413736713,29.96558054562609
pre_lineup_compact_40,rolling_fp_30_baseline,starter_label,Bench,13932,7.248004139472278,9.210540125292166,-1.0885814756164542,13.49198966408269,14.580571139699142
pre_lineup_compact_40,rolling_fp_30_baseline,starter_label,Starter,12230,9.007109614959386,11.481322983815463,1.694177720062662,31.098413736713,29.404236016650337
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,starter_label,Bench,13932,6.925282885072935,8.71537544187092,-1.0697952494932685,13.49198966408269,14.561784913575954
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,starter_label,Starter,12230,8.757449555485609,11.187530286825329,1.3168698557334773,31.098413736713,29.78154388097952
pre_lineup_compact_40_plus_scoring,mean_baseline,starter_label,Bench,13932,11.117410471501096,12.97117510843434,-7.966619327689799,13.49198966408269,21.458608991772486
pre_lineup_compact_40_plus_scoring,mean_baseline,starter_label,Starter,12230,13.161987756046083,16.85610176198025,9.639804744940514,31.098413736713,21.458608991772493
pre_lineup_compact_40_plus_scoring,ridge,starter_label,Bench,13932,7.005812922354221,8.818518431306769,-1.2846763227177016,13.49198966408269,14.77666598680039
pre_lineup_compact_40_plus_scoring,ridge,starter_label,Starter,12230,8.704803483232062,11.10708246314045,1.147594827739411,31.098413736713,29.95081890897359
pre_lineup_compact_40_plus_scoring,rolling_fp_10_baseline,starter_label,Bench,13932,7.1313666869276044,9.139915786462911,-0.838138767111564,13.49198966408269,14.330128431194252
pre_lineup_compact_40_plus_scoring,rolling_fp_10_baseline,starter_label,Starter,12230,8.95933866059189,11.420302406488089,1.1328331910869118,31.098413736713,29.96558054562609
pre_lineup_compact_40_plus_scoring,rolling_fp_30_baseline,starter_label,Bench,13932,7.248004139472278,9.210540125292166,-1.0885814756164542,13.49198966408269,14.580571139699142
pre_lineup_compact_40_plus_scoring,rolling_fp_30_baseline,starter_label,Starter,12230,9.007109614959386,11.481322983815463,1.694177720062662,31.098413736713,29.404236016650337
pre_lineup_player_team_opp,hist_gradient_boosting,starter_label,Bench,13932,6.847655108271443,8.648232303687468,-0.841980219313509,13.49198966408269,14.333969883396197
pre_lineup_player_team_opp,hist_gradient_boosting,starter_label,Starter,12230,8.738364799556829,11.157576546710642,1.3082370041104463,31.098413736713,29.790176732602553
pre_lineup_player_team_opp,mean_baseline,starter_label,Bench,13932,11.117410471501096,12.97117510843434,-7.966619327689799,13.49198966408269,21.458608991772486
pre_lineup_player_team_opp,mean_baseline,starter_label,Starter,12230,13.161987756046083,16.85610176198025,9.639804744940514,31.098413736713,21.458608991772493
pre_lineup_player_team_opp,ridge,starter_label,Bench,13932,6.912438611360418,8.734857891933851,-0.9569933249569336,13.49198966408269,14.44898298903962
pre_lineup_player_team_opp,ridge,starter_label,Starter,12230,8.699124920368956,11.102456812636,1.0497828793924837,31.098413736713,30.048630857320518
pre_lineup_player_team_opp,rolling_fp_10_baseline,starter_label,Bench,13932,7.1313666869276044,9.139915786462911,-0.838138767111564,13.49198966408269,14.330128431194252
pre_lineup_player_team_opp,rolling_fp_10_baseline,starter_label,Starter,12230,8.95933866059189,11.420302406488089,1.1328331910869118,31.098413736713,29.96558054562609
pre_lineup_player_team_opp,rolling_fp_30_baseline,starter_label,Bench,13932,7.248004139472278,9.210540125292166,-1.0885814756164542,13.49198966408269,14.580571139699142
pre_lineup_player_team_opp,rolling_fp_30_baseline,starter_label,Starter,12230,9.007109614959386,11.481322983815463,1.694177720062662,31.098413736713,29.404236016650337
pre_lineup_baseline,hist_gradient_boosting,primary_position,Center,5133,8.381713926451196,10.72151666847929,0.4114428009178299,24.577459575297098,24.16601677437927
pre_lineup_baseline,hist_gradient_boosting,primary_position,Forward,10282,7.6445485269617315,9.715438310627176,-0.17765077258789672,20.26333398171562,20.440984754303514
pre_lineup_baseline,hist_gradient_boosting,primary_position,Guard,10747,7.987602411144646,10.133447313840147,-0.033850339094676496,21.75493626128222,21.788786600376895
pre_lineup_baseline,mean_baseline,primary_position,Center,5133,12.933217301792672,16.221481671795804,3.118850583524611,24.577459575297098,21.45860899177248
pre_lineup_baseline,mean_baseline,primary_position,Forward,10282,11.546538752404897,14.225765671858579,-1.1952750100568665,20.26333398171562,21.45860899177249
pre_lineup_baseline,mean_baseline,primary_position,Guard,10747,12.166293578028096,14.904844292100549,0.2963272695097319,21.75493626128222,21.458608991772486
pre_lineup_baseline,ridge,primary_position,Center,5133,8.370739916999867,10.692125050274193,0.09685503474526724,24.577459575297098,24.48060454055183
pre_lineup_baseline,ridge,primary_position,Forward,10282,7.623434770419557,9.727290598525675,-0.0760963067532691,20.26333398171562,20.33943028846889
pre_lineup_baseline,ridge,primary_position,Guard,10747,7.961207116860154,10.142957638284637,0.1324293468586382,21.75493626128222,21.622506914423578
pre_lineup_baseline,rolling_fp_10_baseline,primary_position,Center,5133,8.46743394901099,10.871902416941499,0.051104640489482246,24.577459575297098,24.526354934807614
pre_lineup_baseline,rolling_fp_10_baseline,primary_position,Forward,10282,7.684271090629617,9.897223323628978,0.04566308477962967,20.26333398171562,20.217670896935992
pre_lineup_baseline,rolling_fp_10_baseline,primary_position,Guard,10747,8.044468101534108,10.32208582004742,0.13452802328630883,21.75493626128222,21.62040823799591
pre_lineup_baseline,rolling_fp_30_baseline,primary_position,Center,5133,8.52369832061329,10.944581896959566,0.2010789918374681,24.577459575297098,24.37638058345963
pre_lineup_baseline,rolling_fp_30_baseline,primary_position,Forward,10282,7.772926525384643,9.959251675100802,0.10615322015973949,20.26333398171562,20.157180761555882
pre_lineup_baseline,rolling_fp_30_baseline,primary_position,Guard,10747,8.138342816448136,10.386536537668304,0.3191653971614174,21.75493626128222,21.4357708641208
pre_lineup_compact_40,hist_gradient_boosting,primary_position,Center,5133,8.274734578366225,10.599861067378363,0.1455226508690927,24.577459575297098,24.431936924428005
pre_lineup_compact_40,hist_gradient_boosting,primary_position,Forward,10282,7.470847093406006,9.544361789060877,-0.049536116903418456,20.26333398171562,20.312870098619037
pre_lineup_compact_40,hist_gradient_boosting,primary_position,Guard,10747,7.847363761752551,10.00604872072534,0.06621409939594113,21.75493626128222,21.68872216188628
pre_lineup_compact_40,mean_baseline,primary_position,Center,5133,12.933217301792672,16.221481671795804,3.118850583524611,24.577459575297098,21.45860899177248
pre_lineup_compact_40,mean_baseline,primary_position,Forward,10282,11.546538752404897,14.225765671858579,-1.1952750100568665,20.26333398171562,21.45860899177249
pre_lineup_compact_40,mean_baseline,primary_position,Guard,10747,12.166293578028096,14.904844292100549,0.2963272695097319,21.75493626128222,21.458608991772486
pre_lineup_compact_40,ridge,primary_position,Center,5133,8.313038764934163,10.582463455063984,-0.24644880412537015,24.577459575297098,24.823908379422466
pre_lineup_compact_40,ridge,primary_position,Forward,10282,7.49447686354401,9.558950703316265,-0.19737981360138682,20.26333398171562,20.460713795317005
pre_lineup_compact_40,ridge,primary_position,Guard,10747,7.851582926819938,10.017720292446386,-0.05817347632430193,21.75493626128222,21.813109737606517
pre_lineup_compact_40,rolling_fp_10_baseline,primary_position,Center,5133,8.46743394901099,10.871902416941499,0.051104640489482246,24.577459575297098,24.526354934807614
pre_lineup_compact_40,rolling_fp_10_baseline,primary_position,Forward,10282,7.684271090629617,9.897223323628978,0.04566308477962967,20.26333398171562,20.217670896935992
pre_lineup_compact_40,rolling_fp_10_baseline,primary_position,Guard,10747,8.044468101534108,10.32208582004742,0.13452802328630883,21.75493626128222,21.62040823799591
pre_lineup_compact_40,rolling_fp_30_baseline,primary_position,Center,5133,8.52369832061329,10.944581896959566,0.2010789918374681,24.577459575297098,24.37638058345963
pre_lineup_compact_40,rolling_fp_30_baseline,primary_position,Forward,10282,7.772926525384643,9.959251675100802,0.10615322015973949,20.26333398171562,20.157180761555882
pre_lineup_compact_40,rolling_fp_30_baseline,primary_position,Guard,10747,8.138342816448136,10.386536537668304,0.3191653971614174,21.75493626128222,21.4357708641208
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,primary_position,Center,5133,8.276933522410483,10.59928159725997,0.14737087154672332,24.577459575297098,24.430088703750375
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,primary_position,Forward,10282,7.467560349989702,9.546108468586125,-0.023083988834274302,20.26333398171562,20.28641797054989
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,primary_position,Guard,10747,7.84588200700642,10.002860453599604,0.06344336179630457,21.75493626128222,21.691492899485915
pre_lineup_compact_40_plus_scoring,mean_baseline,primary_position,Center,5133,12.933217301792672,16.221481671795804,3.118850583524611,24.577459575297098,21.45860899177248
pre_lineup_compact_40_plus_scoring,mean_baseline,primary_position,Forward,10282,11.546538752404897,14.225765671858579,-1.1952750100568665,20.26333398171562,21.45860899177249
pre_lineup_compact_40_plus_scoring,mean_baseline,primary_position,Guard,10747,12.166293578028096,14.904844292100549,0.2963272695097319,21.75493626128222,21.458608991772486
pre_lineup_compact_40_plus_scoring,ridge,primary_position,Center,5133,8.31115069827849,10.580264555426865,-0.2427854577383166,24.577459575297098,24.820245033035413
pre_lineup_compact_40_plus_scoring,ridge,primary_position,Forward,10282,7.492956109406396,9.558216835320852,-0.1961097213622984,20.26333398171562,20.459443703077916
pre_lineup_compact_40_plus_scoring,ridge,primary_position,Guard,10747,7.849727457242681,10.016571050573798,-0.05586748629683567,21.75493626128222,21.810803747579055
pre_lineup_compact_40_plus_scoring,rolling_fp_10_baseline,primary_position,Center,5133,8.46743394901099,10.871902416941499,0.051104640489482246,24.577459575297098,24.526354934807614
pre_lineup_compact_40_plus_scoring,rolling_fp_10_baseline,primary_position,Forward,10282,7.684271090629617,9.897223323628978,0.04566308477962967,20.26333398171562,20.217670896935992
pre_lineup_compact_40_plus_scoring,rolling_fp_10_baseline,primary_position,Guard,10747,8.044468101534108,10.32208582004742,0.13452802328630883,21.75493626128222,21.62040823799591
pre_lineup_compact_40_plus_scoring,rolling_fp_30_baseline,primary_position,Center,5133,8.52369832061329,10.944581896959566,0.2010789918374681,24.577459575297098,24.37638058345963
pre_lineup_compact_40_plus_scoring,rolling_fp_30_baseline,primary_position,Forward,10282,7.772926525384643,9.959251675100802,0.10615322015973949,20.26333398171562,20.157180761555882
pre_lineup_compact_40_plus_scoring,rolling_fp_30_baseline,primary_position,Guard,10747,8.138342816448136,10.386536537668304,0.3191653971614174,21.75493626128222,21.4357708641208
pre_lineup_player_team_opp,hist_gradient_boosting,primary_position,Center,5133,8.220127959497747,10.53555679066759,0.2807155205334155,24.577459575297098,24.296744054763682
pre_lineup_player_team_opp,hist_gradient_boosting,primary_position,Forward,10282,7.427141552018963,9.506363855189917,0.04209241259403829,20.26333398171562,20.22124156912158
pre_lineup_player_team_opp,hist_gradient_boosting,primary_position,Guard,10747,7.789331554206463,9.957505406587217,0.22290529371964532,21.75493626128222,21.532030967562573
pre_lineup_player_team_opp,mean_baseline,primary_position,Center,5133,12.933217301792672,16.221481671795804,3.118850583524611,24.577459575297098,21.45860899177248
pre_lineup_player_team_opp,mean_baseline,primary_position,Forward,10282,11.546538752404897,14.225765671858579,-1.1952750100568665,20.26333398171562,21.45860899177249
pre_lineup_player_team_opp,mean_baseline,primary_position,Guard,10747,12.166293578028096,14.904844292100549,0.2963272695097319,21.75493626128222,21.458608991772486
pre_lineup_player_team_opp,ridge,primary_position,Center,5133,8.272533671460018,10.54055010253029,-0.17075839062963938,24.577459575297098,24.748217965926738
pre_lineup_player_team_opp,ridge,primary_position,Forward,10282,7.4441756089639135,9.514687745045201,-0.07268428173207166,20.26333398171562,20.33601826344769
pre_lineup_player_team_opp,ridge,primary_position,Guard,10747,7.787332610273978,9.975268413056208,0.10513224300187737,21.75493626128222,21.64980401828034
pre_lineup_player_team_opp,rolling_fp_10_baseline,primary_position,Center,5133,8.46743394901099,10.871902416941499,0.051104640489482246,24.577459575297098,24.526354934807614
pre_lineup_player_team_opp,rolling_fp_10_baseline,primary_position,Forward,10282,7.684271090629617,9.897223323628978,0.04566308477962967,20.26333398171562,20.217670896935992
pre_lineup_player_team_opp,rolling_fp_10_baseline,primary_position,Guard,10747,8.044468101534108,10.32208582004742,0.13452802328630883,21.75493626128222,21.62040823799591
pre_lineup_player_team_opp,rolling_fp_30_baseline,primary_position,Center,5133,8.52369832061329,10.944581896959566,0.2010789918374681,24.577459575297098,24.37638058345963
pre_lineup_player_team_opp,rolling_fp_30_baseline,primary_position,Forward,10282,7.772926525384643,9.959251675100802,0.10615322015973949,20.26333398171562,20.157180761555882
pre_lineup_player_team_opp,rolling_fp_30_baseline,primary_position,Guard,10747,8.138342816448136,10.386536537668304,0.3191653971614174,21.75493626128222,21.4357708641208
pre_lineup_baseline,hist_gradient_boosting,minutes_bucket,0-5,2312,7.555703861095236,8.763399998246935,-7.421491255901038,1.9526816608996542,9.374172916800692
pre_lineup_baseline,hist_gradient_boosting,minutes_bucket,5-15,4413,6.7689362857794615,8.520893006017177,-4.903989535732239,8.482256968048947,13.386246503781187
pre_lineup_baseline,hist_gradient_boosting,minutes_bucket,15-25,7502,7.1820271294413,9.08057260894275,-0.8761031372195561,17.866009064249532,18.742112201469087
pre_lineup_baseline,hist_gradient_boosting,minutes_bucket,25-35,8491,8.402335631147887,10.657845772846326,2.5875681314140624,29.60623012601578,27.01866199460172
pre_lineup_baseline,hist_gradient_boosting,minutes_bucket,35+,3444,10.134566238711885,13.011747856184794,6.7720149232072755,40.92331591173055,34.151300988523275
pre_lineup_baseline,mean_baseline,minutes_bucket,0-5,2312,19.50592733087283,19.659432306683556,-19.50592733087283,1.9526816608996542,21.45860899177248
pre_lineup_baseline,mean_baseline,minutes_bucket,5-15,4413,13.132798001087293,14.130404186574161,-12.976352023723539,8.482256968048947,21.458608991772483
