experiment,base_feature_set,model,n_features,n_pca_source_features,n_pca_components,pca_explained_variance_ratio_sum,train_mae,validation_mae,mae_gap,train_rmse,validation_rmse,rmse_gap,train_r2,validation_r2,r2_gap,overfitting_interpretation
lineup_aware_starter_flag_roll10_plus_pca_30,lineup_aware_starter_flag_roll10,hist_gradient_boosting,41,100,30,0.927620804405783,7.409026122774365,7.581493274826162,0.17246715205179708,9.45261955956563,9.69404735724241,0.24142779767677958,0.5957324031379916,0.5773592110894976,0.01837319204849397,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_plus_pca_37,lineup_aware_starter_flag_roll10,hist_gradient_boosting,48,100,37,0.9528697012504477,7.349468007307149,7.581563107492612,0.23209510018546275,9.374060950534165,9.68915997920353,0.31509902866936557,0.602424036109489,0.57778526318792,0.02463877292156902,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_plus_pca_20,lineup_aware_starter_flag_roll10,hist_gradient_boosting,31,100,20,0.8606097578558353,7.427530168043712,7.584784803444978,0.15725463540126583,9.475665518019406,9.698203961640502,0.22253844362109554,0.5937587509637259,0.5769966943560505,0.01676205660767538,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_plus_pca_30,lineup_aware_starter_flag_roll10,ridge,41,100,30,0.927620804405783,7.637865405504943,7.589702912183666,-0.048162493321276756,9.766861469274561,9.718277069597349,-0.048584399677212176,0.5684067635143725,0.5752438382029276,-0.0068370746885551,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_plus_pca_37,lineup_aware_starter_flag_roll10,ridge,48,100,37,0.9528697012504477,7.631899772370708,7.591356684616971,-0.04054308775373627,9.758038931804252,9.712857212536985,-0.04518171926726744,0.5691861393083275,0.5757174768373352,-0.006531337529007697,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_plus_pca_10,lineup_aware_starter_flag_roll10,hist_gradient_boosting,21,100,10,0.7216487766689973,7.43555056061255,7.595782658736675,0.16023209812412453,9.489775006285074,9.709210111483932,0.21943510519885834,0.5925480447479925,0.5760360464785237,0.01651199826946881,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_plus_pca_20,lineup_aware_starter_flag_roll10,ridge,31,100,20,0.8606097578558353,7.6454014984669945,7.5976050718016115,-0.047796426665382974,9.77665716502994,9.725850885091512,-0.05080627993842768,0.5675405945476624,0.5745815236074349,-0.007040929059772494,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_plus_pca_10,lineup_aware_starter_flag_roll10,ridge,21,100,10,0.7216487766689973,7.66912052013937,7.615704981525715,-0.05341553861365522,9.806692890418828,9.751323156278769,-0.055369734140059634,0.5648793199620066,0.5723502401323168,-0.007470920170310258,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_reference,lineup_aware_starter_flag_roll10,hist_gradient_boosting,11,0,0,,7.621969636346413,7.655891244591493,0.03392160824508039,9.724880243968183,9.78251609850373,0.05763585453554754,0.5721090526500594,0.5696098961274687,0.0024991565225906953,Small gap with worse validation MAE = underpowered or unhelpful features.
lineup_aware_starter_flag_roll10_reference,lineup_aware_starter_flag_roll10,ridge,11,0,0,,7.794193485773586,7.721617482900054,-0.07257600287353139,9.961254193949047,9.865872158289582,-0.09538203565946546,0.5510555366945682,0.562244005886912,-0.011188469192343842,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_starter_history_roll10_plus_pca_30,pre_lineup_starter_history_roll10,hist_gradient_boosting,40,100,30,0.927620804405783,7.4862199412194395,7.769193651401932,0.2829737101824925,9.544293585081425,9.921628093105628,0.37733450802420343,0.5878529892462617,0.5572821611619976,0.030570828084264146,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_starter_history_roll10_plus_pca_37,pre_lineup_starter_history_roll10,hist_gradient_boosting,47,100,37,0.9528697012504477,7.458651449483703,7.77058022294978,0.31192877346607695,9.507253115065167,9.921645518024024,0.4143924029588568,0.5910457862198377,0.5572806061089528,0.03376518011088492,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_starter_history_roll10_plus_pca_20,pre_lineup_starter_history_roll10,hist_gradient_boosting,30,100,20,0.8606097578558353,7.540782200568132,7.7841942877620784,0.24341208719394647,9.615966872386833,9.938098816659249,0.32213194427241554,0.5816396751759236,0.5558110446008967,0.025828630575026934,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_starter_history_roll10_plus_pca_10,pre_lineup_starter_history_roll10,hist_gradient_boosting,20,100,10,0.7216487766689973,7.5354007763860364,7.7867771775302375,0.251376401144201,9.61229624353291,9.946331836247008,0.33403559271409833,0.5819590091347362,0.5550747808085823,0.02688422832615389,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_starter_history_roll10_plus_pca_30,pre_lineup_starter_history_roll10,ridge,40,100,30,0.927620804405783,7.740911382653259,7.788673283876658,0.047761901223399406,9.896413332347947,9.959760494181578,0.0633471618336312,0.5568811491043886,0.5538725724041011,0.003008576700287424,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_starter_history_roll10_plus_pca_37,pre_lineup_starter_history_roll10,ridge,47,100,37,0.9528697012504477,7.7345090103546665,7.788901088002063,0.054392077647396064,9.886934187284805,9.95209532320921,0.06516113592440576,0.5577296133074554,0.5545589999758161,0.0031706133316392604,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_starter_history_roll10_plus_pca_20,pre_lineup_starter_history_roll10,ridge,30,100,20,0.8606097578558353,7.751325571528008,7.800541024105034,0.04921545257702675,9.909083426121136,9.97244837125643,0.06336494513529445,0.5557457981130516,0.5527351925641428,0.0030106055489087513,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_starter_history_roll10_plus_pca_10,pre_lineup_starter_history_roll10,ridge,20,100,10,0.7216487766689973,7.7678400787507735,7.812428510873347,0.04458843212257335,9.93112944508918,9.987568239223242,0.05643879413406161,0.5537668196002149,0.5513779107459225,0.0023889088542924375,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_starter_history_roll10_reference,pre_lineup_starter_history_roll10,hist_gradient_boosting,10,0,0,,7.781524462218871,7.909683099771941,0.1281586375530699,9.913261843682527,10.08782620329792,0.17456435961539363,0.5553710569078694,0.542325919972285,0.0130451369355844,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_starter_history_roll10_reference,pre_lineup_starter_history_roll10,ridge,10,0,0,,7.918611090639538,7.952467684422498,0.0338565937829598,10.10876002561326,10.150775276804861,0.04201525119160188,0.5376611927941387,0.5365962319497654,0.0010649608443733527,Small gap with worse validation MAE = underpowered or unhelpful features.
