feature_set,model,uses_time_decay,validity,n_features,train_rows,validation_rows,fit_predict_seconds,train_mae,validation_mae,mae_gap,train_rmse,validation_rmse,rmse_gap,train_r2,validation_r2,r2_gap,valid_for_final_ranking,comparison_source
lineup_aware_starter_flag_roll10,catboost,False,lineup-aware,11,76937,26162,3.051,7.61400538988077,7.643728396576896,0.029723006696126042,9.720224681474658,9.779999354927334,0.05977467345267584,0.572518640463233,0.5698313201831093,0.0026873202801236395,True,standard
lineup_aware_starter_flag_roll10,hist_gradient_boosting,False,lineup-aware,11,76937,26162,2.091,7.621969636346413,7.655891244591493,0.03392160824508039,9.724880243968183,9.78251609850373,0.05763585453554754,0.5721090526500594,0.5696098961274687,0.0024991565225906953,True,standard
lineup_aware_starter_flag_roll10,catboost,True,lineup-aware,11,76937,26162,2.988,7.621384016832603,7.660686864398198,0.03930284756559477,9.767212101092973,9.794361695274826,0.027149594181853587,0.5683757744319144,0.5685669508807141,-0.0001911764487996237,True,time_decay
lineup_aware_starter_flag_roll10,hist_gradient_boosting,True,lineup-aware,11,76937,26162,1.722,7.663639556216324,7.661765429026911,-0.0018741271894135991,9.82542136870593,9.785612715766693,-0.03980865293923763,0.5632157765476695,0.5693373763889917,-0.006121599841322212,True,time_decay
lineup_aware_starter_flag_roll10,lightgbm,False,lineup-aware,11,76937,26162,2.651,7.445525816821253,7.667857746182278,0.22233192936102508,9.501937569948053,9.8117871676139,0.3098495976658473,0.5915029544162567,0.5670304316890163,0.02447252272724032,True,standard
lineup_aware_starter_flag_roll10,extra_trees,True,lineup-aware,11,76937,26162,8.734,7.432498058840942,7.6721091585127335,0.23961109967179173,9.538866473722917,9.800190389167527,0.26132391544460987,0.5883215690869706,0.5680533003719784,0.02026826871499221,True,time_decay
lineup_aware_starter_flag_roll10,xgboost,False,lineup-aware,11,76937,26162,3.311,7.33190430839698,7.678525179454141,0.3466208710571612,9.343640657342497,9.831918850330753,0.4882781929882558,0.6050002415296551,0.5652518875922141,0.03974835393744103,True,standard
lineup_aware_starter_flag_roll10,random_forest,True,lineup-aware,11,76937,26162,9.701,7.332834154547445,7.679749961302088,0.34691580675464273,9.423464459568839,9.80896744779622,0.3855029882273815,0.5982223553474892,0.5672792502633479,0.03094310508414133,True,time_decay
lineup_aware_starter_flag_roll10,random_forest,False,lineup-aware,11,76937,26162,10.229,7.277802432813708,7.691885520942817,0.4140830881291091,9.285506221934574,9.80723856621675,0.5217323442821762,0.6099001842185576,0.5674317753903759,0.0424684088281817,True,standard
lineup_aware_starter_flag_roll10,extra_trees,False,lineup-aware,11,76937,26162,9.248,7.419120595511344,7.693668879583036,0.2745482840716926,9.460947469572524,9.80420933072923,0.34326186115670687,0.5950197568277429,0.5676989553185342,0.02732080150920868,True,standard
lineup_aware_starter_flag_roll10,lightgbm,True,lineup-aware,11,76937,26162,2.442,7.479082619674978,7.703347755597293,0.22426513592231512,9.598127205594835,9.864382680431094,0.26625547483625844,0.583190530287278,0.5623761743624349,0.020814355924843042,True,time_decay
lineup_aware_starter_flag_roll10,lasso,True,lineup-aware,11,76937,26162,0.206,7.80740722812621,7.703949308896632,-0.10345791922957748,10.003008479337147,9.848096545362733,-0.1549119339744145,0.5472839950703023,0.5638200188372045,-0.016536023766902108,True,time_decay
lineup_aware_starter_flag_roll10,ridge,True,lineup-aware,11,76937,26162,0.125,7.809059537218956,7.704210804571158,-0.10484873264779804,10.00472292116591,9.847907492823701,-0.15681542834220963,0.5471287974073897,0.5638367652492727,-0.016707967841882998,True,time_decay
lineup_aware_starter_flag_roll10,ridge,False,lineup-aware,11,76937,26162,0.131,7.794193485773586,7.721617482900054,-0.07257600287353139,9.961254193949047,9.865872158289582,-0.09538203565946546,0.5510555366945682,0.562244005886912,-0.011188469192343842,True,standard
lineup_aware_starter_flag_roll10,lasso,False,lineup-aware,11,76937,26162,0.219,7.79509440930777,7.723637783780335,-0.0714566255274347,9.96137817273892,9.866197574241538,-0.09518059849738236,0.5510443614074869,0.5622151275210474,-0.011170766113560493,True,standard
lineup_aware_starter_flag_roll10,xgboost,True,lineup-aware,11,76937,26162,3.265,7.396361688083851,7.729024704732386,0.33266301664853515,9.488690001691253,9.88471494941902,0.3960249477277671,0.5926412107018955,0.5605702721181876,0.03207093858370791,True,time_decay
pre_lineup_compact_40_plus_scoring,catboost,False,pre-lineup,45,76937,26162,4.797,7.535846727733688,7.768784811618319,0.23293808388463155,9.60553888068827,9.931402343382624,0.32586346269435396,0.5825465610917746,0.5564094482570296,0.026137112834744958,True,standard
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,False,pre-lineup,45,76937,26162,4.637,7.490264565838786,7.781769330266231,0.29150476442744466,9.542915072046522,9.947804761804573,0.4048896897580505,0.5879720360864888,0.5549429954908913,0.033029040595597525,True,standard
pre_lineup_compact_40_plus_scoring,lightgbm,False,pre-lineup,45,76937,26162,5.656,7.204622464958706,7.790759777083976,0.5861373121252704,9.179989831497561,9.971549352501883,0.7915595210043218,0.6187156543783626,0.552815831001261,0.06589982337710165,True,standard
pre_lineup_compact_40_plus_scoring,ridge,False,pre-lineup,45,76937,26162,0.688,7.765719155484011,7.800043277813897,0.034324122329885576,9.915533354687671,9.954067511352719,0.03853415666504745,0.5551672702499522,0.5543824380609528,0.0007848321889993848,True,standard
pre_lineup_compact_40_plus_scoring,lasso,False,pre-lineup,45,76937,26162,7.834,7.7692945435734915,7.806479846167233,0.0371853025937412,9.919656060601492,9.96201452261242,0.04235846201092919,0.5547972859606897,0.553670620219652,0.0011266657410377023,True,standard
pre_lineup_compact_40_plus_scoring,extra_trees,False,pre-lineup,45,76937,26162,48.904,7.023836789628691,7.809220350077598,0.7853835604489072,8.941971060555295,9.965887949730956,1.023916889175661,0.638231212301638,0.5533234694661654,0.08490774283547264,True,standard
pre_lineup_compact_40_plus_scoring,random_forest,False,pre-lineup,45,76937,26162,26.559,6.985823257658398,7.809818698070639,0.8239954404122418,8.891336639500274,9.96326885153434,1.0719322120340653,0.6423166851286268,0.5535582174332905,0.08875846769533635,True,standard
pre_lineup_compact_40_plus_scoring,xgboost,False,pre-lineup,45,76937,26162,7.17,6.98509403267688,7.811931288452399,0.8268372557755193,8.89464776761142,9.999278394889105,1.1046306272776842,0.6420502334465821,0.550325299313415,0.09172493413316707,True,standard
pre_lineup_starter_history_roll10,catboost,False,pre-lineup,10,76937,26162,3.066,7.763085280388571,7.901823987983026,0.13873870759445506,9.895204080244975,10.088138293003285,0.1929342127583098,0.5569894327111405,0.5422976011699231,0.014691831541217448,True,standard
pre_lineup_starter_history_roll10,hist_gradient_boosting,False,pre-lineup,10,76937,26162,1.683,7.781524462218871,7.909683099771941,0.1281586375530699,9.913261843682527,10.08782620329792,0.17456435961539363,0.5553710569078694,0.542325919972285,0.0130451369355844,True,standard
pre_lineup_starter_history_roll10,lightgbm,False,pre-lineup,10,76937,26162,2.454,7.58245778805581,7.924750309610309,0.34229252155449963,9.66467066510657,10.123760791899333,0.45909012679276273,0.5773910467816037,0.5390594834202439,0.03833156336135979,True,standard
pre_lineup_starter_history_roll10,random_forest,False,pre-lineup,10,76937,26162,10.66,7.3795663583587885,7.93075147376797,0.5511851154091811,9.407855793104744,10.109502050020687,0.701646256915943,0.5995522313343927,0.5403569861040605,0.05919524523033226,True,standard
pre_lineup_starter_history_roll10,xgboost,False,pre-lineup,10,76937,26162,3.282,7.457902552752195,7.937653061567224,0.47975050881502934,9.497817539425892,10.14459623770228,0.6467786982763872,0.5918571254273124,0.5371602319232216,0.05469689350409079,True,standard
pre_lineup_starter_history_roll10,extra_trees,False,pre-lineup,10,76937,26162,9.234,7.569516884335347,7.9463619203785765,0.37684503604322916,9.640550398432726,10.119975039328308,0.4794246408955818,0.5794978378022484,0.5394041538468477,0.040093683955400694,True,standard
pre_lineup_starter_history_roll10,ridge,False,pre-lineup,10,76937,26162,0.127,7.918611090639538,7.952467684422498,0.0338565937829598,10.10876002561326,10.150775276804861,0.04201525119160188,0.5376611927941387,0.5365962319497654,0.0010649608443733527,True,standard
