feature_set,model,config_name,segment,segment_value,rows,mae,rmse,mean_error,target_mean,prediction_mean
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_internal_early_stop_reference,fp_bucket,40-50,2034,10.546512526382537,13.047238991233636,9.391985992786115,44.51612586037364,35.12413986758753
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_small_trees,fp_bucket,40-50,2034,10.55566050618889,13.049373092535312,9.37889006469433,44.51612586037364,35.13723579567932
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_more_trees,fp_bucket,40-50,2034,10.556068691368722,13.045927853242032,9.393030206776029,44.51612586037364,35.123095653597616
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_leaf,fp_bucket,40-50,2034,10.567143177584741,13.055364884260618,9.430084130895489,44.51612586037364,35.08604172947816
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees_more_trees,fp_bucket,40-50,2034,10.567492404173594,13.058687571283441,9.396336684711972,44.51612586037364,35.11978917566168
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_fewer_trees,fp_bucket,40-50,2034,10.567541515531783,13.059965679002481,9.414996957419497,44.51612586037364,35.10112890295415
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,low_l2,fp_bucket,40-50,2034,10.57119881137638,13.043716391422386,9.419332680898862,44.51612586037364,35.09679317947479
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees,fp_bucket,40-50,2034,10.572086591585899,13.063620341951786,9.393802365587705,44.51612586037364,35.12232349478594
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,reference_current_hgb,fp_bucket,40-50,2034,10.5734167747049,13.053106493388642,9.420146733238807,44.51612586037364,35.09597912713484
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees,fp_bucket,40-50,2034,10.57554658694024,13.04694154924852,9.404385003108125,44.51612586037364,35.11174085726552
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_more_regularized,fp_bucket,40-50,2034,10.575787123158175,13.05006818355751,9.405814130425117,44.51612586037364,35.11031172994853
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_leaf,fp_bucket,40-50,2034,10.583511622953203,13.068075362402553,9.39449021632558,44.51612586037364,35.12163564404807
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees_l2_03,fp_bucket,40-50,2034,10.589372968517026,13.06312032746113,9.452019352590847,44.51612586037364,35.0641065077828
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_fast_regularized,fp_bucket,40-50,2034,10.600712656639212,13.07505708959264,9.432901068815246,44.51612586037364,35.0832247915584
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,high_l2,fp_bucket,40-50,2034,10.600761192334755,13.08528045806974,9.452256161393963,44.51612586037364,35.06386969897968
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_leaf,fp_bucket,40-50,2034,10.612278888715897,13.07402057164391,9.460916738146556,44.51612586037364,35.05520912222709
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_l2,fp_bucket,40-50,2034,10.635849301159547,13.092362705277514,9.474207016037822,44.51612586037364,35.04191884433583
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_more_l2,fp_bucket,40-50,2034,10.650360548740151,13.122112712602185,9.511942785571227,44.51612586037364,35.00418307480242
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees,fp_bucket,40-50,2034,10.655707882557547,13.116389993997297,9.489786737056148,44.51612586037364,35.026339123317506
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_high_leaf_min,fp_bucket,40-50,2034,10.673828895242124,13.13348501699824,9.508358748539216,44.51612586037364,35.00776711183443
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_leaf,fp_bucket,50+,1165,16.61186298207633,19.18586621158872,16.429829561246837,57.906523605150205,41.47669404390337
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees_more_trees,fp_bucket,50+,1165,16.63677839262488,19.188703373058956,16.490728845838174,57.906523605150205,41.41579475931204
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_small_trees,fp_bucket,50+,1165,16.63773769440104,19.178832092532716,16.484433199202034,57.906523605150205,41.422090405948175
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees,fp_bucket,50+,1165,16.64563735710888,19.20106131085637,16.492717111030345,57.906523605150205,41.41380649411986
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_internal_early_stop_reference,fp_bucket,50+,1165,16.66094337148482,19.204159387257107,16.501668430349266,57.906523605150205,41.40485517480094
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_more_trees,fp_bucket,50+,1165,16.67932282229355,19.216730638748214,16.525007281392035,57.906523605150205,41.381516323758184
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees,fp_bucket,50+,1165,16.691754503120627,19.234320236355444,16.54084394798757,57.906523605150205,41.36567965716264
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_high_leaf_min,fp_bucket,50+,1165,16.70470734740011,19.27217369004212,16.541249971435484,57.906523605150205,41.365273633714736
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,reference_current_hgb,fp_bucket,50+,1165,16.713693174834027,19.25148463485351,16.555559782960668,57.906523605150205,41.35096382218955
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_leaf,fp_bucket,50+,1165,16.724873378458636,19.257260209127438,16.561874527826195,57.906523605150205,41.34464907732403
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,low_l2,fp_bucket,50+,1165,16.731024943517877,19.281670527695454,16.58103595457635,57.906523605150205,41.32548765057387
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees_l2_03,fp_bucket,50+,1165,16.733486711195038,19.26491183776958,16.573295038117664,57.906523605150205,41.33322856703255
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_fewer_trees,fp_bucket,50+,1165,16.736119304556944,19.277809387100337,16.577024822755703,57.906523605150205,41.32949878239451
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_l2,fp_bucket,50+,1165,16.737120778332752,19.288330514720762,16.576503583170815,57.906523605150205,41.3300200219794
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_leaf,fp_bucket,50+,1165,16.740333419721246,19.278195696533654,16.5862842837924,57.906523605150205,41.32023932135782
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,high_l2,fp_bucket,50+,1165,16.746522970426614,19.28616223234667,16.570625416449744,57.906523605150205,41.335898188700476
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees,fp_bucket,50+,1165,16.74822730215888,19.31811276611776,16.59191588957856,57.906523605150205,41.314607715571654
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_fast_regularized,fp_bucket,50+,1165,16.75648418511991,19.294145228753123,16.59537607103598,57.906523605150205,41.31114753411423
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_more_l2,fp_bucket,50+,1165,16.774910150701068,19.33820040294981,16.614426040820216,57.906523605150205,41.29209756432999
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_more_regularized,fp_bucket,50+,1165,16.787929169711273,19.331622323912136,16.617533162497224,57.906523605150205,41.28899044265299
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_leaf,minutes_bucket,35+,3444,9.956610637305836,12.832236300294719,6.502438774576645,40.92331591173055,34.4208771371539
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees_more_trees,minutes_bucket,35+,3444,9.966418773977917,12.840710641051022,6.536202645600294,40.92331591173055,34.38711326613025
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_small_trees,minutes_bucket,35+,3444,9.974331786366315,12.84450708584631,6.544457169268015,40.92331591173055,34.37885874246253
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_internal_early_stop_reference,minutes_bucket,35+,3444,9.976497899555811,12.852995925211932,6.583142523248537,40.92331591173055,34.340173388482015
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_more_trees,minutes_bucket,35+,3444,9.97751098991714,12.85354673472357,6.577919109020847,40.92331591173055,34.3453968027097
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_leaf,minutes_bucket,35+,3444,9.97829284294181,12.846876346708308,6.567019989017576,40.92331591173055,34.356295922712974
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees,minutes_bucket,35+,3444,9.984176297338987,12.85676923532604,6.5453155376135195,40.92331591173055,34.37800037411703
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees_l2_03,minutes_bucket,35+,3444,9.989911244834342,12.862187875969802,6.577611491483241,40.92331591173055,34.34570442024731
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees,minutes_bucket,35+,3444,9.991100513864934,12.85977620866751,6.5552002078896505,40.92331591173055,34.3681157038409
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,low_l2,minutes_bucket,35+,3444,9.993848550317255,12.86774742859875,6.563841896001281,40.92331591173055,34.35947401572926
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_leaf,minutes_bucket,35+,3444,10.003236438383343,12.876726906921855,6.582680649014772,40.92331591173055,34.34063526271577
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_l2,minutes_bucket,35+,3444,10.007266133533442,12.888350086034034,6.603453468497969,40.92331591173055,34.31986244323258
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,high_l2,minutes_bucket,35+,3444,10.007717501133836,12.880845788966505,6.580941066822601,40.92331591173055,34.34237484490795
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,reference_current_hgb,minutes_bucket,35+,3444,10.008259559866486,12.882443635664814,6.591581196948631,40.92331591173055,34.331734714781916
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_fewer_trees,minutes_bucket,35+,3444,10.01093815992016,12.888806421678602,6.5963640192229045,40.92331591173055,34.326951892507644
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_high_leaf_min,minutes_bucket,35+,3444,10.012363923578613,12.884523793140136,6.608995534133402,40.92331591173055,34.31432037759715
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_fast_regularized,minutes_bucket,35+,3444,10.015110947595032,12.89520911069302,6.621373950669871,40.92331591173055,34.30194196106067
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees,minutes_bucket,35+,3444,10.020428428403687,12.904248003350686,6.604565480595611,40.92331591173055,34.31875043113494
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_more_l2,minutes_bucket,35+,3444,10.029439022954488,12.91981706895455,6.630008368450044,40.92331591173055,34.2933075432805
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_more_regularized,minutes_bucket,35+,3444,10.03627087715323,12.915269724703554,6.590365910382405,40.92331591173055,34.332950001348145
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_more_trees,starter_label,Starter,12230,8.740051478109107,11.16767108000116,1.2881176773419547,31.098413736713,29.810296059371048
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_leaf,starter_label,Starter,12230,8.741634455208933,11.169423811006336,1.311897541911128,31.098413736713,29.786516194801873
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_internal_early_stop_reference,starter_label,Starter,12230,8.743295038211283,11.17381832793,1.2894562482030163,31.098413736713,29.80895748850998
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_small_trees,starter_label,Starter,12230,8.743610425071125,11.16565659545266,1.2782378465754998,31.098413736713,29.820175890137502
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees_more_trees,starter_label,Starter,12230,8.745301091442741,11.170740382403103,1.3133243502571614,31.098413736713,29.785089386455837
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees_l2_03,starter_label,Starter,12230,8.745845206830719,11.172805643732536,1.3426751156502315,31.098413736713,29.755738621062772
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_leaf,starter_label,Starter,12230,8.74614241935943,11.168304795385495,1.3474122364971148,31.098413736713,29.751001500215885
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees,starter_label,Starter,12230,8.750175165525665,11.174258590634151,1.3107967302887353,31.098413736713,29.78761700642427
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees,starter_label,Starter,12230,8.751086207186152,11.177677709657603,1.3164336469406286,31.098413736713,29.78198008977237
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_l2,starter_label,Starter,12230,8.753486705163787,11.18159364587966,1.3483140133874731,31.098413736713,29.750099723325526
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,low_l2,starter_label,Starter,12230,8.754032458568757,11.178602721142484,1.3201000656401358,31.098413736713,29.778313671072866
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,high_l2,starter_label,Starter,12230,8.754388185037824,11.183374799318035,1.3346629157543999,31.098413736713,29.763750820958602
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_high_leaf_min,starter_label,Starter,12230,8.75449032105022,11.182778490970078,1.3638776381747324,31.098413736713,29.73453609853827
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_leaf,starter_label,Starter,12230,8.757291622979647,11.185946172826378,1.3345942997775735,31.098413736713,29.763819436935428
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,reference_current_hgb,starter_label,Starter,12230,8.757449555485609,11.187530286825329,1.3168698557334773,31.098413736713,29.78154388097952
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_fewer_trees,starter_label,Starter,12230,8.76316395172621,11.19638614373125,1.3114581973639465,31.098413736713,29.78695553934906
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_fast_regularized,starter_label,Starter,12230,8.763285173187926,11.191076148842821,1.2949044430222705,31.098413736713,29.80350929369073
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees,starter_label,Starter,12230,8.765876345252806,11.195445573153442,1.3632852310243728,31.098413736713,29.735128505688632
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_more_regularized,starter_label,Starter,12230,8.774378541154041,11.210770282449463,1.2955347200937055,31.098413736713,29.802879016619293
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_more_l2,starter_label,Starter,12230,8.77634338452006,11.211782566287608,1.3496237582303063,31.098413736713,29.748789978482698
